Longitude,Latitude,Label
-122.950167,48.597,Orcas
142.033333,49.083333,Uglegorsk
14.486194,-22.968361,Walvis Bay
92.75,11.683333,Port Blair
-70.092361,41.278889,Nantucket
32.7,29.583333,Ras Sudr
121.254556,38.789139,Lushun
179.3,51.4,Constantine Harbor
-8.697556,52.653278,Limerick
103.142111,5.349167,Kuala Trengganu
-81.1725,23.025389,Cardenas
102.216667,1.183333,Lalang Marine Terminal
140,39.833333,Akita Funakawa Ko
-66.783333,50.033333,Port Cartier
-74.266667,40.483333,South Amboy
-144.507528,60.192472,Katalla
12.313722,45.334944,Porto Di Malamocco
122.583333,10.666667,Jordan
-156,19.633333,Kailua
11.887528,54.998306,Vordingborg
12.848361,56.662083,Halmstad
53.05,-24.866667,Zirkuh Oil Field
-71.533333,-32.766667,Bahia Quintero (Ventanas)
11.483306,64.437889,Namsos
-65.766167,44.602333,Digby
1.765806,52.478333,Lowestoft
-68.866667,12.066667,Caracasbaai
120.264167,14.803722,Subic Bay
-153.20875,57.136861,Mccord
9.424167,55.028306,Ensted
-1.009139,5.19875,Saltpond
-74.193214,40.638102,Mariners Harbor Si
-5.732528,57.282528,Kyle Of Lochalsh
11.289917,58.426278,Hunnebostrand
-124.826694,49.255361,Port Alberni
27.959944,40.962861,Botas Natural Gas Terminal
-62.260472,-40.556694,San Blas
-23.116667,66.066667,Isafjordur
10.95,59.2,Fredrikstad
127.683722,26.224139,Naha Ko
-170.685861,-14.295444,Pago Pago Harbor
35.951083,35.189167,Baniyas
-155.90625,20.197389,Mahukona
131.233333,-0.883333,Tg. Sorong
-1.4,55,Tynemouth
100.598056,13.519167,Bangkok
11.333333,58.483333,Bovallstrand
-71.938722,41.074778,Montauk Harbor
-69.55,43.866667,South Bristol
-0.694972,35.737889,Mers El Kebir
-2.513333,56.006222,Dunbar
-5.054139,50.159194,Falmouth Harbour
-76.457528,18.179556,Port Antonio
-82.566667,27.633333,Port Manatee
24.049889,70.512917,Kvalsund
-95.236222,16.1555,Salina Cruz
-3.856694,48.62125,Morlaix
25.4,65.016667,Oulu
99.513306,7.43125,Kantang Harbor
14.330833,55.927444,Ahus
-133.101417,55.549417,Klawock
26.916667,38.766667,Nemrut Limani Bay
10.788333,63.41375,Hommelvik
-1.388361,35.305389,Beni Saf
22.169889,65.57875,Lulea
25.633333,60.3,Porvoo
143.2,-9.066667,Daru
4.134611,51.963028,Europoort
-124.126361,44.008306,Florence
-75.837944,20.025806,Santiago De Cuba
14.9,44.983333,Senj
122.792917,10.522528,Pulupandan
